Timestamp,Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss
09102024_003822,1,0.8333541750907898,0.8758333325386047,0.4629611074924469,0.34257373213768005
09102024_003822,2,0.8846874833106995,0.8939999938011169,0.3127458393573761,0.2915307581424713
09102024_003822,3,0.901520848274231,0.8858333230018616,0.2678452432155609,0.3098110556602478
09102024_003822,4,0.9123125076293945,0.9051666855812073,0.2367250621318817,0.25456711649894714
09102024_003822,5,0.9222291707992554,0.9081666469573975,0.208413228392601,0.2526472508907318
09102024_003822,6,0.9310208559036255,0.9117500185966492,0.18511588871479034,0.24405212700366974
09102024_003822,7,0.9393749833106995,0.9116666913032532,0.16399702429771423,0.24551725387573242
09102024_003822,8,0.9447083473205566,0.9081666469573975,0.14519567787647247,0.27373868227005005
09102024_003822,9,0.9512083530426025,0.9079999923706055,0.12948016822338104,0.2604120373725891
09102024_003822,10,0.9578333497047424,0.9134166836738586,0.11277938634157181,0.25955337285995483
09102024_004835,1,0.9623333215713501,0.9149166941642761,0.09964103251695633,0.27705079317092896
09102024_004835,2,0.9662708044052124,0.9011666774749756,0.0881950855255127,0.3539533317089081
09102024_004835,3,0.9703333377838135,0.903333306312561,0.07853236049413681,0.36156147718429565
09102024_004835,4,0.9748749732971191,0.9067500233650208,0.06735366582870483,0.36671388149261475
09102024_004835,5,0.9779166579246521,0.9074166417121887,0.05980924144387245,0.3770507872104645
09102024_004835,6,0.9794999957084656,0.905916690826416,0.05506901070475578,0.375243216753006
09102024_004835,7,0.9824166893959045,0.9102500081062317,0.04877953603863716,0.41186264157295227
09102024_004835,8,0.9830208420753479,0.909250020980835,0.04504656419157982,0.431001752614975
09102024_004835,9,0.9846041798591614,0.9101666808128357,0.040738653391599655,0.4247733950614929
09102024_004835,10,0.9851666688919067,0.9097499847412109,0.040487151592969894,0.42903006076812744
09102024_011126,1,0.7602083086967468,0.8485833406448364,0.8381543159484863,0.5716202855110168
09102024_011126,2,0.8286874890327454,0.8694166541099548,0.6212174296379089,0.5078921318054199
09102024_011126,3,0.8442083597183228,0.8706666827201843,0.5801215171813965,0.4978765547275543
09102024_011126,4,0.8509791493415833,0.8828333616256714,0.5607335567474365,0.46762555837631226
09102024_011126,5,0.8550000190734863,0.874750018119812,0.5460435152053833,0.4832482635974884
09102024_011126,6,0.8576666712760925,0.8817499876022339,0.5402305722236633,0.4660038650035858
09102024_011126,7,0.8598958253860474,0.8807500004768372,0.5293618440628052,0.47370076179504395
09102024_011126,8,0.8623958230018616,0.890333354473114,0.5239312648773193,0.44412466883659363
09102024_011126,9,0.8622708320617676,0.8881666660308838,0.5193207263946533,0.4543389081954956
09102024_011126,10,0.8648333549499512,0.8845833539962769,0.5154849290847778,0.4583593010902405
09102024_011126,11,0.8655208349227905,0.8858333230018616,0.5139215588569641,0.45836225152015686
09102024_011658,1,0.8643541932106018,0.8834999799728394,0.5149526000022888,0.45874157547950745
09102024_011658,2,0.8642500042915344,0.89041668176651,0.512345016002655,0.4435408115386963
09102024_011658,3,0.8669999837875366,0.8884999752044678,0.5086520314216614,0.4477635622024536
09102024_011658,4,0.8694375157356262,0.8927500247955322,0.5072721838951111,0.44093847274780273
09102024_011658,5,0.8690833449363708,0.8923333287239075,0.5056977272033691,0.4436156451702118
09102024_011658,6,0.8698541522026062,0.890333354473114,0.5032784938812256,0.43961894512176514
09102024_011658,7,0.8696874976158142,0.8929166793823242,0.4998157024383545,0.43332669138908386
09102024_011658,8,0.8688125014305115,0.8912500143051147,0.5025036931037903,0.43618884682655334
09102024_011658,9,0.8706250190734863,0.8980833292007446,0.4996803104877472,0.4233109951019287
09102024_011658,10,0.8705624938011169,0.8948333263397217,0.4993606507778168,0.4302905797958374
09102024_011658,11,0.8718958497047424,0.8930000066757202,0.49662500619888306,0.43045687675476074
09102024_011658,12,0.8736458420753479,0.8858333230018616,0.49187394976615906,0.4493391811847687
09102024_012123,1,0.8723333477973938,0.8842499852180481,0.49538272619247437,0.4530036747455597
09102024_012123,2,0.8725625276565552,0.8900833129882812,0.49570995569229126,0.4414222836494446
09102024_012123,3,0.8721874952316284,0.8974166512489319,0.49248045682907104,0.4277702271938324
09102024_012347,1,0.8712499737739563,0.8914166688919067,0.4978359043598175,0.4370209574699402
09102024_012347,2,0.8721250295639038,0.8916666507720947,0.494354784488678,0.4356590509414673
09102024_012347,3,0.8742499947547913,0.8953333497047424,0.49017614126205444,0.42634400725364685
09102024_013353,1,0.8183333277702332,0.84375,0.6441966891288757,0.5427810549736023
09102024_013353,2,0.8644583225250244,0.8733333349227905,0.47671255469322205,0.44852176308631897
09102024_013353,3,0.875291645526886,0.8847500085830688,0.4400075376033783,0.4129215180873871
09102024_013353,4,0.8822291493415833,0.8854166865348816,0.4158628284931183,0.4156639873981476
09102024_013353,5,0.8858333230018616,0.8870000243186951,0.40054842829704285,0.40881332755088806
09102024_013353,6,0.8914999961853027,0.8917499780654907,0.3889795243740082,0.3902760446071625
09102024_013353,7,0.8951666951179504,0.8771666884422302,0.3781020939350128,0.4272444546222687
09102024_013353,8,0.8968750238418579,0.8945000171661377,0.37285083532333374,0.3826821744441986
09102024_013353,9,0.8997916579246521,0.8872500061988831,0.3662509620189667,0.398396760225296
09102024_013353,10,0.9006458520889282,0.890583336353302,0.3600066602230072,0.38199475407600403
09102024_013353,11,0.9017500281333923,0.890666663646698,0.35555899143218994,0.3891863524913788
09102024_013353,12,0.9054999947547913,0.887583315372467,0.35034945607185364,0.3872474431991577
09102024_013353,13,0.9052291512489319,0.8947499990463257,0.3447860777378082,0.3714838922023773
09102024_013353,14,0.9072291851043701,0.9000833630561829,0.3422851860523224,0.36230024695396423
09102024_013353,15,0.9069166779518127,0.9012500047683716,0.3390978276729584,0.3614281713962555
09102024_013353,16,0.9103124737739563,0.8865000009536743,0.3333739638328552,0.38803109526634216
09102024_013353,17,0.9098541736602783,0.9000833630561829,0.3325618803501129,0.35905489325523376
